"Nombre zona",Latitud,Longitud,Grupo,Área,"Fecha, hora",Creación
"Planta Alimentos Kowi",27.1155547969,-109.4526277926,,"0.14 km2","03.07.2026 09:59","Alicia Moreno"
"camino dentro de batacosa",27.55632499995,-109.41092999995,Casetas,"9.26 km2","07.07.2026 07:59","Cristian León"
"carretera a batacosa",27.4341194768,-109.5547931507,Casetas,"16 km2","07.07.2026 08:00","Cristian León"
"caseta de altar a altar",30.64769561605,-111.6699199999,Casetas,"3.43 km2","08.07.2026 07:43","Cristian León"
"entrada a gk 4 (1)",27.2615850056,-109.42706228025,Geocercas,"78.6 km2","06.07.2026 07:44","Cristian León"
"genetikowi 1",27.3004449999,-109.67528704165,Geocercas,"0.76 km2","09.07.2026 10:53","Cristian León"
"guaymas hermosillo",28.626839231,-110.9471799999,Casetas,"26.69 km2","08.07.2026 07:22","Cristian León"
"hermosillo grnjas dentro del v aliente",28.64714861465,-111.25510054875,,"77.83 km2","14.07.2026 08:36","Cristian León"
"hermosillo querobaby",29.6356041195,-111.0267720257,Casetas,"35.37 km2","08.07.2026 07:30","Cristian León"
"llegada a pk2 y pk 3",30.67428298085,-111.98251499995,Geocercas,"155 km2","08.07.2026 07:44","Cristian León"
"navojoa santa 2",26.9152414422,-109.456298908,Geocercas,"183 km2","16.07.2026 20:00","Cristian León"
nutrikowi,27.1925470569,-109.55183793,Geocercas,"0.04 km2","04.07.2026 09:29","Cristian León"
"nutrikowi guaymas",27.61392999995,-110.23755499995,Casetas,"33.33 km2","08.07.2026 07:11","Cristian León"
pk2,30.89254846185,-111.97193929825,Geocercas,"6.97 km2","06.07.2026 12:49","Cristian León"
"pk3 y 4",30.54128951545,-111.8278749999,Geocercas,"79.57 km2","06.07.2026 12:43","Cristian León"
"pradera /santa fe y dany",29.06289333235,-110.8242801253,Casetas,"1.3 km2","10.07.2026 12:22","Cristian León"
"querobaby santana",30.2890650414,-111.09908462425,Casetas,"12.57 km2","08.07.2026 07:32","Cristian León"
"santana altar",30.57364976035,-111.3279577512,Casetas,"4.71 km2","08.07.2026 07:35","Cristian León"
